tmc,hour,vol.fraction
110+04169,4,0.007685
110+04169,5,0.018981
110+04169,6,0.043894
110+04169,7,0.066994
110+04169,8,0.061261
110+04169,9,0.053646
110+04169,10,0.047982
110+04169,11,0.047214
110+04169,12,0.055167
110+04169,13,0.060685
110+04169,14,0.060969
110+04169,15,0.058802
110+04169,16,0.046998
110+04169,17,0.050649
110+04169,18,0.055674
110+04169,19,0.056496
110+04169,20,0.051379
110+04169,21,0.050172
110+04169,22,0.046476
110+04169,23,0.025943
110+04170,0,0.014881
110+04170,1,0.008426
110+04170,2,0.006121
110+04170,3,0.004535
110+04170,4,0.007917
110+04170,5,0.019299
110+04170,6,0.044652
110+04170,7,0.066941
110+04170,8,0.063926
110+04170,9,0.058431
110+04170,10,0.048059
110+04170,11,0.04679
110+04170,12,0.053796
110+04170,13,0.059007
110+04170,14,0.05975
110+04170,15,0.059792
110+04170,16,0.050214
110+04170,17,0.048853
110+04170,18,0.050648
110+04170,19,0.054807
110+04170,20,0.051667
110+04170,21,0.048594
110+04170,22,0.046974
110+04170,23,0.025913
110+04172,0,0.014881
110+04172,1,0.008426
110+04172,2,0.006121
110+04172,3,0.004535
110+04172,4,0.007917
110+04172,5,0.019299
110+04172,6,0.044652
110+04172,7,0.066941
110+04172,8,0.063926
110+04172,9,0.058431
110+04172,10,0.048059
110+04172,11,0.04679
110+04172,12,0.053796
110+04172,13,0.059007
110+04172,14,0.05975
110+04172,15,0.059792
110+04172,16,0.050214
110+04172,17,0.048853
110+04172,18,0.050648
110+04172,19,0.054807
110+04172,20,0.051667
110+04172,21,0.048594
110+04172,22,0.046974
110+04172,23,0.025913
110+04173,0,0.012826
110+04173,1,0.007262
110+04173,2,0.004872
110+04173,3,0.003397
110+04173,4,0.005892
110+04173,5,0.019361
110+04173,6,0.036228
110+04173,7,0.074783
110+04173,8,0.073497
110+04173,9,0.059119
110+04173,10,0.044308
110+04173,11,0.047076
110+04173,12,0.054429
110+04173,13,0.059839
110+04173,14,0.065794
110+04173,15,0.066891
110+04173,16,0.049739
110+04173,17,0.04054
110+04173,18,0.053212
110+04173,19,0.057539
110+04173,20,0.055771
110+04173,21,0.044916
110+04173,22,0.038772
110+04173,23,0.02394
110+04174,0,0.013359
110+04174,1,0.006943
110+04174,2,0.00527
110+04174,3,0.0039
110+04174,4,0.006943
110+04174,5,0.022951
110+04174,6,0.046955
110+04174,7,0.066164
110+04174,8,0.050697
110+04174,9,0.048391
110+04174,10,0.045783
110+04174,11,0.046428
110+04174,12,0.053121
110+04174,13,0.061211
110+04174,14,0.067627
110+04174,15,0.068114
110+04174,16,0.04349
110+04174,17,0.051
