TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04148,2024,MIDD,0.605088479,3750.666667
110+04148,2024,PMP,0.605861092,3837
110+04148,2024,WE,0.638312891,3997.214286
110+04149,2017,AMP,0.671089833,4178
110+04149,2017,MIDD,0.671157093,4123.5
110+04149,2017,PMP,0.635563596,3986.75
110+04149,2017,WE,0.660968305,4100
110+04149,2018,AMP,0.670496857,4174.25
110+04149,2018,MIDD,0.670564057,4119.666667
110+04149,2018,PMP,0.635002011,3983.25
110+04149,2018,WE,0.660384272,4096.285714
110+04149,2019,AMP,0.677860383,4220.25
110+04149,2019,MIDD,0.677928322,4165
110+04149,2019,PMP,0.641975726,4027
110+04149,2019,WE,0.66763674,4141.357143
110+04149,2020,AMP,0.590515863,3676.25
110+04149,2020,MIDD,0.590575048,3628.333333
110+04149,2020,PMP,0.559255061,3508
110+04149,2020,WE,0.58160957,3607.642857
110+04149,2021,AMP,0.643883728,4008.5
110+04149,2021,MIDD,0.643948261,3956.333333
110+04149,2021,PMP,0.609797731,3824.75
110+04149,2021,WE,0.634172528,3933.642857
110+04149,2022,AMP,0.643600515,4006.75
110+04149,2022,MIDD,0.64366502,3954.666667
110+04149,2022,PMP,0.609529511,3823.5
110+04149,2022,WE,0.633893587,3932.071429
110+04149,2023,AMP,0.643308452,4005
110+04149,2023,MIDD,0.643372928,3952.666667
110+04149,2023,PMP,0.609252909,3821.75
110+04149,2023,WE,0.633605929,3930.214286
110+04149,2024,AMP,0.64302524,4003.5
110+04149,2024,MIDD,0.643089687,3951
110+04149,2024,PMP,0.608984689,3819.75
110+04149,2024,WE,0.633326988,3928.5
110+04150,2017,AMP,0.75466937,4758.25
110+04150,2017,MIDD,0.729491348,4539.333333
110+04150,2017,PMP,0.686232186,4361.25
110+04150,2017,WE,0.724325308,4551
110+04150,2018,AMP,0.753998155,4754
110+04150,2018,MIDD,0.728842527,4535.333333
110+04150,2018,PMP,0.685621841,4357.25
110+04150,2018,WE,0.723681082,4546.928571
110+04150,2019,AMP,0.762285423,4806
110+04150,2019,MIDD,0.736853306,4585
110+04150,2019,PMP,0.693157577,4405
110+04150,2019,WE,0.731635131,4596.714286
110+04150,2020,AMP,0.664064298,4187
110+04150,2020,MIDD,0.641909131,3994.333333
110+04150,2020,PMP,0.603843634,3837.5
110+04150,2020,WE,0.637363323,4004.571429
110+04150,2021,AMP,0.664010601,4186.5
110+04150,2021,MIDD,0.641857226,3994.166667
110+04150,2021,PMP,0.603794807,3837
110+04150,2021,WE,0.637311785,4004.214286
110+04150,2022,AMP,0.663715266,4184.75
110+04150,2022,MIDD,0.641571744,3992.166667
110+04150,2022,PMP,0.603526255,3835.5
110+04150,2022,WE,0.637028325,4002.428571
110+04150,2023,AMP,0.663419932,4183
110+04150,2023,MIDD,0.641286263,3990.333333
110+04150,2023,PMP,0.603257702,3833.75
110+04150,2023,WE,0.636744865,4000.642857
110+04150,2024,AMP,0.663124597,4181
110+04150,2024,MIDD,0.641000782,3988.666667
110+04150,2024,PMP,0.60298915,3832
110+04150,2024,WE,0.636461406,3998.857143
110+04151,2017,AMP,0.76101113,4758.25
110+04151,2017,MIDD,0.735621527,4539.333333
110+04151,2017,PMP,0.691998843,4361.25
110+04151,2017,WE,0.730412075,4551
110+04151,2018,AMP,0.760334274,4754
