tmc,year,AMP Hour TMS,AMP TMS,AMP Lane TMS,AMP Hour Lane TMS,AMP Hour NPMRDS,AMP NPMRDS,AMP Lane NPMRDS,AMP Hour Lane NPMRDS,MIDD Hour TMS,MIDD TMS,MIDD Lane TMS,MIDD Hour Lane TMS,MIDD Hour NPMRDS,MIDD NPMRDS,MIDD Lane NPMRDS,MIDD Hour Lane NPMRDS,PMP Hour TMS,PMP TMS,PMP Lane TMS,PMP Hour Lane TMS,PMP Hour NPMRDS,PMP NPMRDS,PMP Lane NPMRDS,PMP Hour Lane NPMRDS,WE Hour TMS,WE TMS,WE Lane TMS,WE Hour Lane TMS,WE Hour NPMRDS,WE NPMRDS,WE Lane NPMRDS,WE Hour Lane NPMRDS
110-04947,2019,3965.88663,15863.54652,5287.84884,1321.96221,4065.53775,16262.151,5420.717,1355.17925,3028.4669,18170.8014,6056.9338,1009.488967,3104.563407,18627.38044,6209.126813,1034.854469,3559.80643,14239.22572,4746.408573,1186.602143,3649.253943,14597.01577,4865.671923,1216.417981,3448.112402,48273.57363,16091.19121,1149.370801,3534.753371,49486.5472,16495.51573,1178.251124
110-04947,2020,3049.153313,12196.61325,4065.53775,1016.384438,4043.883753,16175.53501,5391.845003,1347.961251,2328.422555,13970.53533,4656.84511,776.1408517,3088.027782,18528.16669,6176.055563,1029.342594,2736.940458,10947.76183,3649.253943,912.3134858,3629.81717,14519.26868,4839.756227,1209.939057,2651.065029,37114.9104,12371.6368,883.6883429,3515.926456,49222.97039,16407.6568,1171.975485
110-04948,2017,3769.077195,15076.30878,5025.43626,1256.359065,3502.887805,14011.55122,4670.517073,1167.629268,2902.618698,17415.71219,5805.237397,967.5395661,2697.622552,16185.73531,5395.245103,899.2075172,3460.72061,13842.88244,4614.294147,1153.573537,3216.308765,12865.23506,4288.411687,1072.102922,3309.635959,46334.90342,15444.96781,1103.211986,3075.894399,43062.52158,14354.17386,1025.298133
110-04948,2018,3786.175183,15144.70073,5048.233577,1262.058394,3628.746008,14514.98403,4838.32801,1209.582003,2915.786095,17494.71657,5831.57219,971.9286983,2794.547702,16767.28621,5589.095403,931.5159006,3476.419773,13905.67909,4635.226363,1158.806591,3331.87023,13327.48092,4442.49364,1110.62341,3324.649742,46545.09639,15515.03213,1108.216581,3186.410797,44609.75116,14869.91705,1062.136932
110-04948,2019,3826.756295,15307.02518,5102.341727,1275.585432,3740.27312,14961.09248,4987.030827,1246.757707,2947.038173,17682.22904,5894.076347,982.3460578,2880.43628,17282.61768,5760.87256,960.1454267,3513.680853,14054.72341,4684.907803,1171.226951,3434.27306,13737.09224,4579.030747,1144.757687,3360.284116,47043.97763,15681.32588,1120.094705,3284.343029,45980.8024,15326.93413,1094.78101
110-04948,2020,2916.377223,11665.50889,3888.502963,972.1257408,3760.421785,15041.68714,5013.895713,1253.473928,2245.942605,13475.65563,4491.88521,748.647535,2895.953047,17375.71828,5791.906093,965.3176822,2677.781918,10711.12767,3570.37589,892.5939725,3452.773318,13811.09327,4603.697757,1150.924439,2560.878014,35852.29219,11950.76406,853.6260045,3302.03562,46228.49868,15409.49956,1100.67854
110-04949,2017,3104.539925,12418.1597,4139.386567,1034.846642,2760.193268,11040.77307,3680.25769,920.0644225,2375.443845,14252.66307,4750.88769,791.814615,2111.966432,12671.79859,4223.932863,703.9888106,2958.883163,11835.53265,3945.17755,986.2943875,2630.692335,10522.76934,3507.58978,876.897445,2750.453958,38506.35541,12835.4518,916.817986,2445.381499,34235.34099,11411.78033,815.1271664
110-04949,2018,3115.520725,12462.0829,4154.027633,1038.506908,2955.665603,11822.66241,3940.88747,985.2218675,2383.845822,14303.07493,4767.691643,794.6152739,2261.532412,13569.19447,4523.064823,753.8441372,2969.348773,11877.39509,3959.131697,989.7829242,2816.993628,11267.97451,3755.991503,938.9978758,2760.182351,38642.55292,12880.85097,920.0607838,2618.559385,36659.83139,12219.9438,872.8531283
110-04949,2019,3160.147828,12640.59131,4213.530437,1053.382609,3076.313635,12305.25454,4101.751513,1025.437878,2417.992323,14507.95394,4835.984647,805.9974411,2353.846452,14123.07871,4707.692903,784.6154839,3011.88209,12047.52836,4015.842787,1003.960697,2931.981175,11727.9247,3909.308233,977.3270583,2799.719543,39196.0736,13065.35787,933.2398476,2725.446996,38156.25794,12718.75265,908.4823319
110-04949,2020,2422.463246,9689.852985,3229.950995,807.4877488,3080.18507,12320.74028,4106.913427,1026.728357,1853.55175,11121.3105,3707.1035,617.8505833,2356.808688,14140.85213,4713.617377,785.6028961,2308.807709,9235.230835,3078.410278,769.6025696,2935.670973,11742.68389,3914.227963,978.5569908,2146.171023,30046.39432,10015.46477,715.390341,2728.876879,38204.2763,12734.75877,909.6256262
