tmc,AMP Truck,MIDD Truck,PMP Truck,WE Truck
110+05021,16.5055498,20.4390617,17.4564318,18.4145113
110+05022,16.4864779,20.4003865,17.5290517,18.428905
110+05023,16.629365,20.3658649,17.3725326,18.3631167
110+05354,36.7452475,29.5545214,29.9323561,31.5058617
110+05355,36.764288,29.5444741,29.9844175,31.4512647
110+05356,27.1293305,24.2873385,21.759843,24.2774236
110+05357,27.0306928,24.2887602,21.7252204,24.2362715
110+05358,26.9256086,24.3122396,21.7772047,24.2556427
110+05359,26.8098319,24.3143454,21.7957686,24.1846099
110+05360,26.8002074,24.2897158,21.6725293,24.0830635
110+05361,26.8856834,24.2106193,21.7181965,24.0172756
110+05362,27.1847767,24.1650017,21.7476442,23.9932114
110+05363,27.1640963,24.1769865,21.7613633,23.9991602
110+05364,27.1420253,24.1880444,21.8353692,24.0659065
110+05365,27.1757495,24.1886082,21.8657597,24.1502713
110+05366,27.1767495,24.1882429,21.8662838,24.1504681
110+05367,27.2903121,24.1977966,21.8568069,24.2068916
110+05368,27.3139083,24.2193631,21.9078967,24.2750491
110+05369,24.2549426,23.0433908,18.0192016,21.8283254
110+05370,23.9618462,23.073767,17.9900025,21.8404231
110+05371,23.9418,23.0874076,17.9777666,21.8381077
110+05372,23.8041219,23.0992916,17.9696115,21.8511024
110+05373,23.7418008,23.1143783,17.9575092,21.8797554
110+05374,23.9295599,23.0713455,17.8849571,21.8377712
110+05375,23.8941042,23.082098,17.9329664,21.8287502
110+05376,29.4144017,27.333692,21.0874813,25.6637393
110+05377,29.4321096,27.3420774,21.0783267,25.6619631
110+05378,29.4169844,27.3715302,21.0592164,25.7741301
110+05379,8.7056234,9.0703241,5.7128519,7.9695647
110+05380,8.7760856,9.0786792,5.7307452,7.9851657
110+05381,8.8582701,9.0716696,5.7274517,8.0035467
110+05382,8.8698191,9.0740097,5.7499137,8.0170026
110+05383,15.4384166,14.0302708,11.9985033,13.7370912
110+05384,15.3816551,14.0537611,12.0127254,13.7805932
110+05390,15.2980557,14.0708886,11.9781012,13.8139486
110+05392,29.0079789,25.0223224,26.3245827,26.3309978
110+05393,29.0135203,25.0005133,26.3515847,26.3631422
110+05394,29.0966812,25.1597198,26.5612693,26.6280176
110+05395,28.9926717,25.0057356,26.3255516,26.3791539
110+05396,24.9587561,26.8211525,25.3988342,25.9661509
110+05397,24.9767873,26.832575,25.477815,25.9997441
110+05398,24.8018186,26.752278,25.6112102,25.9106614
110+05399,24.8690803,26.8236028,25.483442,25.9578562
110+05400,24.9283548,26.8303688,25.4989343,25.983907
110+05401,24.8542889,26.7698463,25.3782634,25.8945576
110+05402,24.6005839,26.7748128,25.3563608,25.7505353
110+05403,24.2564966,26.7303847,25.5862161,25.6937637
110+05404,24.4073404,26.7114067,25.573529,25.8034761
110+05405,20.0976085,21.9108812,19.0074799,20.6856497
110+05406,20.2370288,21.8737967,18.9136818,20.6697226
110+05407,35.5328545,31.4094118,34.3073568,33.1426494
110+05408,35.5043568,31.4317275,34.2103305,33.089311
110+05409,35.7073475,31.3515944,34.1003632,33.0436507
110+05410,35.5438804,31.3581129,34.1710687,33.0551562
110+05411,35.5308744,31.3614587,34.3034601,33.1027209
110+05412,35.4781164,31.3574693,34.2338896,33.0641381
110+05413,36.4978731,29.4551739,29.892675,31.130942
110+05415,21.9172278,18.6363546,19.0424658,19.4605421
110+05416,22.0146846,18.698634,19.1285445,19.5497761
110+05417,22.0434832,18.6714451,19.1009917,19.5659449
110+05418,22.09335,18.7368448,19.2361855,19.6435731
110+05419,22.0389235,18.7200827,19.2013054,19.5911199
110+05420,22.043278,18.7115615,19.187697,19.5833772
110+05421,22.0205211,18.7294682,19.2144311,19.5779603
110+05422,22.1069394,18.8521478,19.4467513,19.7576402
110+05423,22.0451956,18.7420926,19.2367646,19.6127728
110+05424,8.7343398,9.9971373,6.9206924,8.8088778
110+05425,8.7341055,9.9931417,6.9203034,8.806779
110+05427,17.9269108,17.3843518,16.520244,17.2392486
110+05428,17.9269108,17.3843518,16.520244,17.2392486
110+05429,17.8661711,17.3935055,16.5103269,17.2606951
110+05430,17.8876142,17.423212,16.6647812,17.3073003
110+05431,17.8934026,17.3925581,16.5600786,17.2653265
110+05432,17.8885631,17.3921421,16.5604275,17.2647759
110+05433,17.9010322,17.3805055,16.5508961,17.2568891
110+05434,17.8984663,17.4091374,16.5732585,17.2816688
110+05435,17.8956787,17.4196984,16.5902844,17.2954099
110+05436,17.881029,17.4385727,16.6049702,17.3131406
110+05437,17.879982,17.4524248,16.6218521,17.3255428
110+05438,17.8659768,17.4589689,16.6363823,17.3355676
110+05439,17.8374935,17.5110274,16.6699331,17.3759503
110+05440,12.009112,15.2235387,11.1312534,13.1111576
110+05441,11.8227289,15.2175831,11.1755815,13.0003354
110+05443,3.8565546,4.2952488,1.386009,3.2171966
110+05444,4.045202,4.2726514,1.3839269,3.2160355
110+05445,4.0591368,4.3041531,1.3826479,3.2750641
110+05446,12.8637372,15.4155894,11.2174647,13.4677165
110+05447,12.8522482,15.4187325,11.1920395,13.4795341
110+05448,12.8270868,15.4335984,11.164816,13.4990302
110+05449,12.7525403,15.4792363,11.195925,13.495298
110+05450,12.7080667,15.5666308,11.264464,13.5362209
110+05451,12.4759994,15.591508,11.2627101,13.4082123
110+05452,12.6346344,15.5835203,11.346786,13.4993832
110+05453,12.5696787,15.5828743,11.399154,13.4700089
110+05454,12.5701401,15.5772498,11.4259663,13.464993
110+05455,12.7787735,15.4873608,11.4444781,13.4680576
110+05456,12.7050125,15.4585585,11.3757138,13.3094238
110+05457,12.7880663,15.5051034,11.4240183,13.5116255
110+05458,12.7869391,15.5047707,11.3872619,13.4982642
110+05459,12.7407895,15.5473452,11.3783299,13.5267245
110+05460,28.6680445,25.2457334,24.8443586,25.9892667
110+05461,28.3669473,25.2984022,24.9377525,25.8073207
110+05463,21.5440428,21.7203243,18.2227766,20.6103799
110+05464,21.5304416,21.7188335,18.2291333,20.6184835
110+05465,21.4835042,21.7177096,18.1847619,20.6057053
110+05466,21.5672027,21.7020208,18.2062726,20.6135373
110+05467,21.5715448,21.7020306,18.2393684,20.6231706
110+05468,21.5194809,21.6940637,18.2359373,20.6063071
110+05469,21.4823376,21.7150426,18.1958552,20.599964
110+05470,21.5134969,21.6645349,18.1938787,20.5641944
110+05471,21.6565358,21.6664328,18.2328259,20.634076
110+05472,21.7252308,21.6674411,18.2268742,20.6481712
110+05473,21.5905266,21.6776851,18.2161046,20.6198523
110+05474,21.6031441,21.671308,18.2029649,20.6256755
110+05475,21.6802445,21.6798596,18.2180635,20.6442581
110+05476,21.7564999,21.7228737,18.2393516,20.7424583
110+05477,21.8090574,21.7253353,18.2293959,20.7436073
110+05478,21.792891,21.707037,18.2496694,20.832618
110+05479,21.7931838,21.7066875,18.2504188,20.8327244
110+05480,21.7807064,21.7151825,18.2850248,20.8564647
110+05481,21.7478246,21.7064072,18.2747554,20.8438994
110+05482,29.0235279,24.9643663,26.3521358,26.281838
110+05483,29.0424521,24.9394102,26.3419441,26.2710589
110+05484,29.0015338,25.0113792,26.4011194,26.2802752
110+05485,28.976349,24.9671612,26.5323503,26.2884057
110+05486,28.9758555,24.9991236,26.4032467,26.3086922
110+05487,28.9518719,24.9466436,26.3432995,26.1953491
110+05488,28.9530372,24.946711,26.3441132,26.1958653
110+05490,24.2225081,24.3813498,22.1289848,23.6833283
110+05491,24.1967083,24.4157788,22.1109426,23.7118867
110+05492,24.2151011,24.4118715,22.1047947,23.7122954
110+05493,24.278004,24.4109095,22.1529929,23.7352403
110+05495,36.4607158,29.3890552,29.8244182,30.990518
110+05496,36.4759469,29.4063462,29.8568431,31.0173405
110+05497,36.5472608,29.427988,29.9039611,31.0655384
110+05498,36.672123,29.4127063,29.8118896,31.2022089
110+05499,36.6451158,29.4147399,29.7889002,31.1903723
110+05500,36.7446317,29.4372326,29.8332804,31.3595239
110+05501,36.9704525,29.5307727,29.9434425,31.6279192
110+05503,20.8746155,17.4113024,12.3472485,16.1914203
110+05504,20.8192093,17.7057374,12.2898922,16.5644927
110+05505,20.8487882,17.7404244,12.2907777,16.5871162
110+05507,31.4508402,25.4191852,29.03412,27.6931994
110+05508,31.3184464,25.4491533,29.0077687,27.7276015
110+05509,31.3188108,25.449901,29.0082272,27.7281846
110+05510,31.3188108,25.449901,29.0082272,27.7281846
110+05511,31.1300394,25.2975928,29.142863,27.6761585
110+05512,31.1574393,25.2927281,29.1562303,27.6902044
110+05513,31.1772346,25.2957461,29.1548508,27.7231018
110+05514,31.2554697,25.3095063,29.1747868,27.6249394
110+05515,31.2705986,25.3014763,29.1286379,27.7567008
110+05517,34.9291336,32.0177249,35.8005748,33.6430746
110+05518,35.1984169,32.0046925,35.7857756,33.7123206
110+05519,31.3678411,29.7991335,33.861657,31.2391898
110+05520,31.2632597,29.8629479,33.837092,31.2378011
110+05521,31.4505004,29.8325658,33.8178358,31.2644973
110+05522,31.4418644,29.9004086,33.8009339,31.2872618
110+05529,26.880232,23.1189513,23.0509273,23.9149284
110+05530,26.8752243,23.0875962,23.086652,23.9062279
110+05531,26.8763648,23.0832689,23.0961563,23.912209
110+05532,26.8677073,23.0698393,23.3359865,23.9341186
110+05533,26.8944533,23.0499102,23.2093292,23.7981338
110+05534,26.8655374,23.0707247,23.0510902,23.9795146
110+05535,26.9079642,23.0567314,22.9116418,23.7926633
110+05536,26.9130463,23.0760043,23.1275085,23.7993468
110+05537,26.908582,23.0743936,23.1271655,23.7976209
110+05538,26.9042399,23.0834006,23.170299,23.8330037
110+05539,26.914414,23.1334292,23.0473812,23.9427684
110+05540,26.870924,23.0988027,22.9819999,23.8830352
110+05541,26.8624783,23.1245685,22.9654234,24.0236481
110+05542,26.8894713,23.0668945,22.5775064,23.7661845
110+09220,21.4986372,21.6474971,18.0816363,20.5168644
110+10918,8.9829264,12.4531176,9.1131717,10.4614578
110+10919,8.9653465,12.4630528,9.1181397,10.4617607
110+10920,8.8465615,12.4836226,9.1639699,10.3652161
110+10921,8.8479619,12.5022924,9.1746803,10.3759957
110+15859,9.0249185,12.4332593,9.1455188,10.4081578
110+16029,9.2512564,12.5139259,9.2374143,10.7042742
110+16072,3.3492327,4.8337948,2.0958513,3.5774931
110-04120,2.4773794,2.4773794,2.4773794,2.4773794
110-04121,2.4703281,2.4703281,2.4703281,2.4703281
110-04122,2.4785285,2.4785285,2.4785285,2.4785285
110-04123,2.4730274,2.4730274,2.4730274,2.4730274
110-04124,2.4724973,2.4724973,2.4724973,2.4724973
110-04125,2.4717931,2.4717931,2.4717931,2.4717931
110-04126,2.4706651,2.4706651,2.4706651,2.4706651
110-04127,2.4720923,2.4720923,2.4720923,2.4720923
110-04128,2.4758969,2.4758969,2.4758969,2.4758969
110-04142,11.9449581,10.8993476,6.9996599,9.9908075
110-04143,11.9485561,10.9047627,7.005622,9.9959481
110-04144,11.9860253,10.8718415,7.0145619,9.9495334
110-04145,12.0143239,11.0650334,7.09332,10.2536508
110-04146,8.6579821,9.4696633,5.3988193,8.1179889
110-04147,8.6130316,9.3964699,5.3772284,8.0070961
110-04148,8.6653143,9.2403874,5.3443883,7.8194215
110-04149,8.6863748,9.1331648,5.3289952,7.6498282
110-04150,8.6863748,9.1331648,5.3289952,7.6498282
110-04151,8.6824403,9.3357455,5.3652047,7.9319581
110-04152,8.7030593,9.3201804,5.3595283,7.9779384
110-04153,8.7307163,9.2297579,5.3810041,7.8728362
110-04154,8.7766292,9.1776658,5.3525594,7.8084376
110-04156,8.83168,9.4117849,5.3352107,7.972713
110-04158,8.7720184,9.0887506,5.3004189,7.8233809
