tmc_code,year,AMP LOTTR,MIDD LOTTR,PMP LOTTR,WE LOTTR,max LOTTR,max WD LOTTR,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110N09396,2020,1.852842809,1.835443038,1.753164557,2.07804878,2.07804878,1.852842809,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09403,2019,1.084006462,1.067741935,1.059977578,1.076376554,1.084006462,1.084006462,Rel,Rel,Rel,Rel,Rel,Rel
110N09403,2020,1.078688525,1.072533333,1.068351522,1.075346594,1.078688525,1.078688525,Rel,Rel,Rel,Rel,Rel,Rel
110N09404,2019,1.076154806,1.043206011,1.052563271,1.075152336,1.076154806,1.076154806,Rel,Rel,Rel,Rel,Rel,Rel
110N09404,2020,1.051923077,1.044080605,1.063829787,1.071773637,1.071773637,1.063829787,Rel,Rel,Rel,Rel,Rel,Rel
110N09417,2017,1.781437126,1.574117647,1.713004484,1.888888889,1.888888889,1.781437126,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09419,2017,2.569131833,2.37755102,2.496428571,2.289398281,2.569131833,2.569131833,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09426,2017,1.861386139,2.08,1.817490494,2.25,2.25,2.08,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09431,2017,1.420168067,1.462809917,1.539568345,1.666666667,1.666666667,1.539568345,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110N09431,2018,2.079754601,1.49375,1.54676259,1.566473988,2.079754601,2.079754601,Unrel,Rel,Unrel,Unrel,Unrel,Unrel
110N09432,2017,1.260061392,1.246057819,1.307817349,1.31207367,1.31207367,1.307817349,Rel,Rel,Rel,Rel,Rel,Rel
110N09432,2018,1.303900051,1.277678716,1.340349306,1.333274864,1.340349306,1.340349306,Rel,Rel,Rel,Rel,Rel,Rel
110N09432,2019,1.251403888,1.207083333,1.299194476,1.217877095,1.299194476,1.299194476,Rel,Rel,Rel,Rel,Rel,Rel
110N09432,2020,1.2345,1.208449396,1.268669907,1.20693021,1.268669907,1.268669907,Rel,Rel,Rel,Rel,Rel,Rel
110N09435,2017,1.558558559,1.544642857,1.756302521,1.91160221,1.91160221,1.756302521,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09446,2017,2.372641509,1.896226415,2.361290323,1.295081967,2.372641509,2.372641509,Unrel,Unrel,Unrel,Rel,Unrel,Unrel
110N09447,2017,2.165467626,2,1.835365854,2.333333333,2.333333333,2.165467626,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09451,2019,1.223253371,1.207407407,1.246530752,1.296258642,1.296258642,1.246530752,Rel,Rel,Rel,Rel,Rel,Rel
110N09451,2020,1.261300198,1.238259669,1.28615163,1.321367154,1.321367154,1.28615163,Rel,Rel,Rel,Rel,Rel,Rel
110N09470,2017,1.141793103,1.130201342,1.177293065,1.193648993,1.193648993,1.177293065,Rel,Rel,Rel,Rel,Rel,Rel
110N09470,2018,1.140699301,1.139382345,1.160476325,1.225975539,1.225975539,1.160476325,Rel,Rel,Rel,Rel,Rel,Rel
110N09470,2019,1.206896552,1.180135175,1.237593052,1.218739467,1.237593052,1.237593052,Rel,Rel,Rel,Rel,Rel,Rel
110N09470,2020,1.156379917,1.144785276,1.187520525,1.211890771,1.211890771,1.187520525,Rel,Rel,Rel,Rel,Rel,Rel
110N09471,2017,1.683615819,1.5795053,1.704778157,1.812286689,1.812286689,1.704778157,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09471,2018,1.499029126,1.621993127,1.799682035,1.749588138,1.799682035,1.799682035,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09471,2019,1.374064838,1.580498866,1.687755102,2.07755102,2.07755102,1.687755102,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09471,2020,1.416452442,1.543325527,1.666666667,2.308390023,2.308390023,1.666666667,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09476,2017,1.311926606,1.479674797,1.531746032,1.587155963,1.587155963,1.531746032,Rel,Rel,Unrel,Unrel,Unrel,Unrel
